,Name,File Name,Generated Smiles,Correct Smiles
93,dy-754,dy-754.PNG,OC(=O)CCCC1(C)/C(=C/C=C/C=C/c2cc([o+]c3=CC4C(C=c23)C(=CC(N4CCCS(=C)([U])[O-])(C)C)CS(=O)[O-])C(C)(C)C)/N(c2c1cc(cc2)S(=O)(O)[O-])CCCS(=O)(=O)[O-],CC(C)(C)c5cc(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)c4=CC3C(CS(=O)(=O)[O-])=CC(C)(C)N(CCCS(=O)(=O)[O-])C3C=c4[o+]5.[Na+].[Na+].[Na+]
94,dy-765,dy-765.PNG,CCC[IH](=O)c1cc([O-])cc2c1C=CC1C2C(C)(C)/C(=C\C=C\2/CCCC3=C(c4c(OC23)cc2c(c4)C(=CC(C2CC)(C)C)CC)c2ccccc2C(=O)C(CCCC(O)O)C)/[*+]1CC,CCN6/C(=C/C=C/1CCCc3c1[o+]c2cc5c(cc2c3c4ccccc4C(=O)N(C)CCCC(=O)O)C(CS(=O)(=O)[O-])=CC(C)(C)N5CC)C(C)(C)c7c6ccc8c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc78.[Na+].[Na+]
95,dy-776,dy-776.PNG,CCN1c2cc3[o+]c(cc(c3cc2C(=CC1(C)C)C)/C=C/C=C/C=C/1\N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=*)[O-])c1ccccc1,CCN6c5cc4[o+]c(c1ccccc1)cc(/C=C/C=C/C=C/3N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C3(C)CCCC(=O)O)c4cc5C(C)=CC6(C)C.[Na+]
96,dy-777,dy-777.PNG,OC(CCCC1(C)/C(=C/C=C/C=C/C(=C/*c2ccccc2)/c2cc3C(=CC(N(c3cc2[O+2])CCCS(=O)[O-])(C)C)C)/C(c2c1cc(cc2)*(O)[O-])CCCS(=O)(=C)[O-])O,CC5=CC(C)(C)N(CCCS(=O)(=O)[O-])c6cc4[o+]c(c1ccccc1)cc(/C=C/C=C/C=C/3N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C3(C)CCCC(=O)O)c4cc56.[Na+].[Na+]
97,dy-778,dy-778.PNG,[O-]CCCC1c2ccc(cc2C(/C/1=C/C=C/C=C/C1=C*([OH+]c2c1cc1C(=CC(N(c1c2)CCC*(=O)[O-])(C)C)CS=O)c1ccccc1)(C)CCCC(=O)O)S(=O)(=O)[O-],CC6(C)C=C(CS(=O)(=O)[O-])c5cc4c(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)cc(c3ccccc3)[o+]c4cc5N6CCCS(=O)(=O)[O-].[Na+].[Na+].[Na+]
98,dy-780,dy-780.PNG,CCN(c1ccc2c(c1)[o+]c(cc2C(C)(C)C)/C=C/C=C/C=C\1/N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])CC,CCN(c1ccc2c(c1)[o+]c(cc2C(C)(C)C)/C=C/C=C/C=C\1/N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])CC
99,dy-781,dy-781.PNG,CCN(c1ccc2c(c1)[O-]C(C=C2C)/C=C/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])CC,CCN(CC)c4ccc3c(C(C)(C)C)cc(/C=C/C=C/C=C\2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)[o+]c3c4.[Na+]
100,dy-782,dy-782.PNG,CCN(c1ccc(c(c1)[OH2+])/C(=C\C(=C)/C=C/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])/C(C)(C)C)CCCS(=O)(=O)[O-],CCN(CCCS(=O)(=O)[O-])c4ccc3c(C(C)(C)C)cc(/C=C/C=C/C=C\2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)[o+]c3c4.[Na+].[Na+]
101,dy-784,dy-784.PNG,O=Sc1cccc(c1)CC(c1ccc(c(c1)[OH2+])/C(=C\C(/C=C/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)*)cc(cc2)S(=O)(=C)[O-])C)/C(C)(C)C)Cc1cccc(c1)S=O,CC(C)(C)c5cc(/C=C/C=C/C=C\2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)[o+]c6cc(N(Cc3cccc(S(=O)(=O)[O-])c3)Cc4cccc(S(=O)(=O)[O-])c4)ccc56.[Na+].[Na+].[Na+]
102,dy-800,dy-800.PNG,C=[O]C(=O)CCCC1(C)c2ccccc2N(/C/1=C/C=C/1\CCCC(=C1Oc1ccc(cc1)S(=O)(=O)[O-])/C=C/C(=[IH])C(c1ccccc1NCCCS(=O)(=O)[O-])(C)C)CCCS(=O)(=O)[O-],C=[O+]C(=O)CCCC6(C)/C(=C\C=C\3CCCC(/C=C/C2=[N+](CCCS(=O)(=O)[O-])c1ccccc1C2(C)C)=C3Oc4ccc(S(=O)(=O)[O-])cc4)N(CCCS(=O)(=O)[O-])c5ccccc56.[Na+].[Na+]
